"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Keshad Johnson","Mia","*","F","24.7","24","7.6","19.5","12.6","21","0.667","40","0.5","29","0.31","0.486","0.518","3.4","1.8","0.1","0.3","0.3","0.4","5.2","3.5","5.3","4.5","103.9","104.8"
"","Isaiah Stevens","Sac","*","G","25.4","3","14.3","10.7","21.2","4","1","6","0.5","1","0","0.429","0.571","3.3","1","3.3","1.7","0","0.7","4.3","6.7","7.7","6.2","131.1","118.3"
"","Dorian Finney-Smith","Hou","*","F","32.9","29","17.3","10.4","14.7","5","1","25","0.48","79","0.278","0.433","0.447","3.3","2.7","0.9","0.4","0.1","0.6","5.9","4.1","6.8","4.6","102.6","106.6"
"","Kelly Olynyk","San","*","F-C","34.9","36","8.9","16","20.1","30","0.667","45","0.711","42","0.262","0.557","0.584","3.3","1.8","1.1","0.4","0.1","0.6","5","4.4","6.2","8.4","116.5","101.8"
"","Mohamed Diawara","Nyk","*","F","20.9","55","8.2","16.7","13.3","12","0.75","54","0.537","96","0.406","0.583","0.592","3.3","1.3","0.6","0.3","0.1","0.4","4.7","4","5.3","6.7","113.7","106.3"
"","James Wiseman","Ind","*","C","24.9","4","14.6","11.5","32.9","2","0.5","10","0.6","0","0","0.6","0.597","3.3","2","0.8","0","0.3","1.3","5.3","4","6","4.8","99","108"
"","Tyrese Martin","Phi","*","F","27","5","12.3","18.4","26.9","2","0","7","0.714","12","0.167","0.421","0.402","3.2","1.2","1.6","0.2","0.4","1.4","4.4","4.8","6","6","75.6","119.3"
"","Nikola Topic","Okc","*","G","20.6","5","10.5","22.2","40.7","0","0","11","0.455","5","0.4","0.5","0.5","3.2","1.6","2","0","0","2.2","4.8","5.2","6.8","8.3","77.9","106.9"
"","Koby Brea","Pho","*","G","23.3","5","4.6","18.1","0","2","1","2","0.5","7","0.571","0.778","0.81","3.2","0.4","0.6","0","0","0","3.6","3.8","4.2","8","173.8","122.8"
"","Nick Richards","Pho","","C","28.3","28","9.1","18.1","26","28","0.679","71","0.493","0","0","0.493","0.534","3.2","3.3","0.3","0.1","0.5","0.9","6.4","3.5","6.7","6.5","100.8","99.1"
"","Dwight Powell","Dal","*","F-C","34.6","48","14","8.8","28.5","82","0.671","72","0.667","3","0.333","0.66","0.693","3.2","3.8","0.9","0.5","0.4","0.6","7","4.1","7.9","6.3","136.3","103"
"","John Konchar","Mem","","G","30","30","14.5","8.7","16.4","13","0.615","32","0.75","39","0.333","0.613","0.619","3.2","3.1","1.3","1","0.4","0.5","6.2","4.5","7.6","6.5","126.7","110.1"
"","Larry Nance Jr.","Cle","*","F-C","33.2","28","12.4","13.3","12","5","0.6","45","0.422","50","0.32","0.453","0.458","3.2","2.5","0.9","0.5","0.1","0.5","5.7","4.1","6.6","6.2","104.8","102.7"
"","Killian Hayes","Sac","*","G","24.6","8","14.4","16.8","4.6","6","0.833","21","0.19","20","0.2","0.244","0.286","3.1","1.9","3.4","0.6","0","0.3","5","6.5","8.4","7.5","89.2","110.2"
"","Miles Kelly","Dal","*","G","23.1","14","9.6","15.9","11.9","1","1","11","0.545","33","0.303","0.477","0.484","3.1","1.7","0.9","0.3","0.1","0.4","4.8","3.9","5.6","7","100.6","109.2"
"","Pat Connaughton","Cha","*","G","33.2","31","7.7","15.7","10.9","16","0.688","28","0.571","45","0.4","0.589","0.606","3.1","1.6","0.5","0.3","0","0.3","4.7","3.7","5.3","7","124.6","114.1"
"","Mark Sears","Mil","*","G","24.1","7","3.7","34.8","23.1","8","0.75","5","0.4","8","0.5","0.615","0.666","3.1","0.3","0.3","0","0","0.6","3.4","3.4","3.7","7.1","0","0"
"","Cam Christie","Lac","*","G","20.6","43","9.4","16.7","12.8","44","0.75","71","0.451","45","0.267","0.431","0.491","3.1","1.5","0.6","0.3","0.1","0.4","4.6","3.7","5.2","6","103.2","115.6"
"","Haywood Highsmith","Pho","*","F","29.3","3","11.4","9.8","0","2","0.5","2","0.5","5","0.4","0.571","0.571","3","2","1","1","0","0","5","4","6","6.4","143.6","106.6"
"","Dalano Banton","Lac","","F","26.3","2","4.9","22.9","20","0","0","4","0.75","0","0","0.75","0.75","3","0.5","1","0.5","0","0.5","3.5","4","4.5","9.3","134.9","120.4"
"","AJ Johnson","Dal","*","G","21.3","11","10","17.8","11.8","10","0.9","20","0.45","17","0.118","0.324","0.399","3","1.1","0.9","0.1","0","0.5","4.1","3.9","5","5.7","86.6","118.1"
